EGM Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Total by Age,Month
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Apr-22
15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Apr-22
16,4,6,2,5,0,0,0,0,0,0,0,0,0,0,0,17,Apr-22
17,17,6,1,2,0,0,0,0,0,0,0,0,0,0,0,26,Apr-22
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr-22
Totals_By,,,,,,,,,,,,,,,,0,Apr-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Apr-22
Mini_Values,9,2,3,1,15,4,4,10,0,2,14,10,,,,74,Apr-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jun-22
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
4,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,14,Jun-22
5,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,Jun-22
6,11,4,10,3,0,0,1,0,0,0,0,0,0,0,0,29,Jun-22
7,13,3,4,7,3,0,0,0,0,0,0,0,0,0,0,30,Jun-22
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Jun-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,Jun-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
12,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0,17,Jun-22
13,8,10,1,3,0,0,0,0,0,0,0,0,0,0,0,22,Jun-22
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
16,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,15,Jun-22
17,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,11,Jun-22
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun-22
Totals_By,,,,,,,,,,,,,,,,0,Jun-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Jun-22
Mini_Values,3,1,6,4,4,10,0,2,14,1,0,3,,,,48,Jun-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jul-22
4,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,14,Jul-22
5,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,12,Jul-22
6,11,4,10,3,0,0,1,0,0,0,0,0,0,0,0,29,Jul-22
7,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,10,Jul-22
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Jul-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,Jul-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
12,4,7,2,2,1,0,0,0,0,0,0,0,0,0,0,16,Jul-22
13,10,9,1,3,0,0,0,0,0,0,0,0,0,0,0,23,Jul-22
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
16,1,6,2,3,2,0,0,0,0,0,0,0,0,0,0,14,Jul-22
17,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,12,Jul-22
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul-22
Totals_By,,,,,,,,,,,,,,,,0,Jul-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Jul-22
Mini_Values,1,2,4,4,3,0,2,14,1,0,2,12,,,,45,Jul-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Aug-22
4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Aug-22
5,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,12,Aug-22
6,8,3,4,4,0,0,1,0,0,0,0,0,0,0,0,20,Aug-22
7,19,2,5,3,0,0,0,0,0,0,0,0,0,0,0,29,Aug-22
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Aug-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,Aug-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
12,3,2,5,0,3,0,0,0,0,0,0,0,0,0,0,13,Aug-22
13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Aug-22
14,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,Aug-22
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
16,1,6,2,0,5,0,0,0,0,0,0,0,0,0,0,14,Aug-22
17,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Aug-22
18,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,Aug-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-22
Totals_By,,,,,,,,,,,,,,,,0,Aug-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Aug-22
Mini_Values,0,4,4,3,0,0,14,1,0,2,12,21,,,,61,Aug-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Sep-22
4,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,15,Sep-22
5,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,Sep-22
6,9,4,4,4,0,0,1,0,0,0,0,0,0,0,0,22,Sep-22
7,16,0,6,3,0,0,0,0,0,0,0,0,0,0,0,25,Sep-22
8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,Sep-22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,Sep-22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
12,3,2,4,0,3,0,0,0,0,0,0,0,0,0,0,12,Sep-22
13,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,11,Sep-22
14,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,Sep-22
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
16,1,3,5,0,5,0,0,0,0,0,0,0,0,0,0,14,Sep-22
17,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,Sep-22
18,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,Sep-22
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sep-22
Totals_By,,,,,,,,,,,,,,,,0,Sep-22
Mini_Header,12,11,10,9,8,7,6,5,4,3,2,1,,,,,Sep-22
Mini_Values,4,4,3,0,0,14,1,0,2,12,21,0,,,,61,Sep-22
