Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Korea,21,DAEGU,875,DAEGU F.O.,337010,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,3/26/2022,337010-668834,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,336502,60,WMS BLADE MULTI CHEST 2,1856,10/24/2015,10/24/2015,336502-5091334,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,336504,60,WMS BLADE MULTI CHEST 5,1868,10/24/2015,5/31/2019,336504-5091326,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,336510,60,BAL V22/22 BIG RED LANTERN,3233,11/1/2016,5/27/2021,336510-B160874259,5,October 2022,,,5
Korea,21,DAEGU,875,DAEGU F.O.,336573,60,WMS BLADE MULTI CHEST 3,1866,10/17/2015,3/2/2022,336573-5091347,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,336610,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,3/26/2022,336610-642979,8,October 2022,,,8
Korea,21,DAEGU,875,DAEGU F.O.,336698,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/10/2011,6/11/2020,336698-XAR647241,10,October 2022,,,10
Korea,21,DAEGU,875,DAEGU F.O.,337011,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,3/26/2022,337011-668835,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,337012,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/20/2015,3/5/2022,337012-668836,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,337061,60,ITE FU RU HUANG DI,3418,3/11/2016,11/20/2021,337061-15111301,6,October 2022,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337062,60,ITE LEONIDAS,3421,3/11/2016,11/20/2021,337062-15111302,6,October 2022,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337063,60,ITE SHEN FORTUNES,3419,3/11/2016,11/20/2021,337063-15111303,6,October 2022,,,6
Korea,21,DAEGU,875,DAEGU F.O.,337941,60,BAL PRO CURVE QHTB7'S (MLP),3211,9/27/2017,7/3/2021,337941-B170502923,5,October 2022,,,5
Korea,21,DAEGU,875,DAEGU F.O.,336501,60,WMS BLADE MULTI CHEST 2,1856,10/24/2015,3/2/2022,336501-5091335,7,October 2022,,,7
Korea,21,DAEGU,875,DAEGU F.O.,337683,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,3/2/2022,337683-5105406,5,October 2022,,,5
Korea,21,DAEGU,875,DAEGU F.O.,333456,70,ITC Smart Card Dispenser,1018,10/21/2003,1/30/2019,333456-23698,19,October 2022,,,19
Korea,21,DAEGU,875,DAEGU F.O.,333502,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/9/2004,11/20/2021,333502-1407747,18,October 2022,,,18
