Loc,LNAME,PLACE,Open,Closed,KSI,CmtyNum,SVC,FONUM,FOSHORT,REGNUM,Region,SMSSection,SMSBank,MESSAGE,RptGrp,Shortname,Split,CMMTY,FOABRV,Month
2600,LA PLAZA,Floor,11/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT02,E0,Fast Close Aug21/Temp,Dave,LA PLAZA,70%,ROTA,RTA,Nov-2021
2601,PINZ,Floor,12/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT04,E0,Fast Close Aug21/Temp,Dave,PINZ,70%,ROTA,RTA,Nov-2021
2605,ROTA FLEET CTR,Floor,1/1/2015,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT03,E0,,Dave,ROTA FLEET CTR,70%,ROTA,RTA,Nov-2021
2618,GRAFFITI'S,Floor,12/1/2015,4/30/2020,70,7,Navy,39,SOUDA BAY,2,Europe,SB01,E0,Closed Apr 2020/Shipmates,Dave,GRAFFITI'S,70%,Souda Bay,SBY,Nov-2021
2664,SANNO HOTEL,Floor,8/25/2006,8/8/8888,260,26,Navy,22,ZAMA,5,Japan,ZA06,J0,,Dave,SANNO HOTEL,80%,New Sanno,ZAM,Nov-2021
2887,ROB JAVA CAFE,Floor,6/1/2013,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA04,E0,,Dave,ROB JAVA CAFE,20%,Rheinland Pfalz,KAI,Nov-2021
2890,NGIS ROTA,Floor,3/24/2008,8/8/8888,100,10,Navy,43,ROTA,2,Europe,RT01,E0,,Dave,NGIS ROTA,70%,ROTA,RTA,Nov-2021
2895,THE ARENA B/C,Floor,4/17/2008,8/8/8888,30,3,Army,4,VICENZA,2,Europe,VZ03,E0,,Dave,ARENA B/C,20%,Vicenza,VIC,Nov-2021
2976,WIESBADEN ENT CTR,Floor,7/2/2010,8/8/8888,130,13,Army,47,WIESBADEN,2,Europe,WB04,E0,SMS Sep2019,Dave,WIESBADEN E/C,20%,Wiesbaden,WIE,Nov-2021
3072,SEMBACH C/C,Floor,7/5/2012,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA05,E0,,Dave,SEMBACH C/C,20%,Rheinland Pfalz,KAI,Nov-2021
3078,CORNER POCKET,Floor,8/16/2012,8/8/8888,250,25,Navy,22,ZAMA,5,Japan,ZA04,J0,,Dave,CORNER POCKET,80%,USN Japan,ZAM,Nov-2021
3079,CLUB TRILOGY,Floor,7/20/2015,8/8/8888,250,25,Navy,22,ZAMA,5,Japan,ZA03,J0,,Dave,CLUB TRILOGY,80%,USN Japan,ZAM,Nov-2021
3096,HARBOR VIEW CLUB,Floor,12/1/2013,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA02,J0,,Dave,HARBOR VIEW,80%,USN SASEBO,SAS,Nov-2021
3097,HARIO,Floor,1/1/2014,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA03,J0,,Dave,HARIO,80%,USN SASEBO,SAS,Nov-2021
3098,GALAXIES,Floor,12/1/2013,8/8/8888,330,33,Navy,19,SASEBO,5,Japan,SA01,J0,,Dave,GALAXIES,80%,USN SASEBO,SAS,Nov-2021
3108,ACE'S GAME ROOM,Floor,2/1/2014,8/8/8888,130,13,Army,47,WIESBADEN,2,Europe,WB01,E0,,Dave,ACE'S GAME RM,20%,Wiesbaden,WIE,Nov-2021
3132,DEL DIN C/C,Floor,3/1/2014,8/8/8888,30,3,Army,4,VICENZA,2,Europe,VZ01,E0,,Dave,DEL DIN C/C,20%,Vicenza,VIC,Nov-2021
3145,ALGIER R/C,Floor,5/1/2016,8/8/8888,120,12,Army,46,VILSECK,2,Europe,VK01,E0,Closed Aug 2021 for 9 Mos,Dave,ALGIER R/C,20%,Bavaria,VIL,Nov-2021
3146,YOKOSUKA B/C,Floor,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK06,J0,,Dave,YOKOSUKA B/C,85%,US Yokosuka,YOK,Nov-2021
3147,CLUB ALLIANCE,Floor,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK01,J0,,Dave,CLUB ALLIANCE,85%,US Yokosuka,YOK,Nov-2021
3148,CPO CLUB,Floor,5/24/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK02,J0,,Dave,CPO CLUB,85%,US Yokosuka,YOK,Nov-2021
3149,TAKEMIYA CLUB,Floor,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK05,J0,,Dave,TAKEMIYA CLUB,85%,US Yokosuka,YOK,Nov-2021
3150,OFFICERS CLUB,Floor,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK03,J0,,Dave,OFFICERS CLUB,85%,US Yokosuka,YOK,Nov-2021
3151,SEASIDE CLUB,Floor,10/1/2015,8/8/8888,350,35,Navy,18,YOKOSUKA,5,Japan,YK04,J0,Temp Clsd 9/5/21,Dave,SEASIDE CLUB,85%,US Yokosuka,YOK,Nov-2021
3156,TERROR CLUB,Floor,5/1/2016,8/8/8888,360,36,Navy,17,SINGAPORE,4,Korea,SG01,K0,,Dave,TERROR CLUB,85%,USN Singapore,SNG,Nov-2021
3158,MORNING CALM,Floor,9/15/2018,8/8/8888,180,78,Army,24,PYONGTAEK,4,Korea,PY04,K0,,Dave,MORNING CALM,20%,Camp Humphreys,PYO,Nov-2021
3159,WHISPERS,Floor,4/1/2015,8/8/8888,290,29,Marine Corps,26,OKINAWA,5,Japan,OK14,J0,,Dave,WHISPERS,85%,USN Okinawa,OKI,Nov-2021
3164,TORII PINES TLF,Floor,12/15/2017,8/8/8888,270,27,Marine Corps,27,IWAKUNI,5,Japan,IW02,J0,,Dave,TORII PINES TLF,80%,USMC Iwakuni,IWK,Nov-2021
194,ARMSTRONG'S,,,,,,,,,,,,,,,,,,,Dec-2021
195,LCCC,Floor,2/1/2014,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA01,E0,IRISH PUB IRISH PUB,Dave,ARMSTRONG'S,20%,Rheinland Pfalz,KAI,Dec-2021
196,KAZABRA,Floor,4/1/2001,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA02,E0,,Dave,KAZABRA,20%,Rheinland Pfalz,KAI,Dec-2021
218,STRIKERS,Floor,4/4/2001,8/8/8888,320,32,Army,2,KAISERSLAUTERN,2,Europe,KA06,E0,,Dave,STRIKERS,20%,Rheinland Pfalz,KAI,Dec-2021
256,PATCH CMTY CASINO,Floor,11/2/2009,8/8/8888,110,11,Army,45,STUTTGART,2,Europe,ST03,E0,Moved Sep 2020,Dave,PATCH C/C,20%,Stuttgart,STU,Dec-2021
280,KELLEY COMM CLUB,Floor,11/2/2009,8/8/8888,110,11,Army,45,STUTTGART,2,Europe,ST02,E0,,Dave,KELLY C/C,20%,Stuttgart,STU,Dec-2021
298,GALAXY B/C,Floor,11/2/2009,8/8/8888,110,11,Army,45,STUTTGART,2,Europe,ST01,E0,,Dave,GALAXY B/C,20%,Stuttgart,STU,Dec-2021
