REGION,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Aquire,Effective,SerialNum,PLACE,Age,Years in Storage,Months,Month
Korea,21,DAEGU,875,DAEGU F.O.,336319,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/6/2020,336319-XAR647232,Store,9,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336504,60,WMS BLADE MULTI CHEST 5,1868,10/24/2015,5/31/2019,336504-5091326,Store,6,2.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336510,60,BAL V22/22 BIG RED LANTERN,3233,11/1/2016,5/27/2021,336510-B160874259,Store,5,,7.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336698,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/10/2011,6/11/2020,336698-XAR647241,Store,9,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,337061,60,ITE FU RU HUANG DI,3418,3/11/2016,11/20/2021,337061-15111301,Store,5,,1.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,337062,60,ITE LEONIDAS,3421,3/11/2016,11/20/2021,337062-15111302,Store,5,,1.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,337941,60,BAL PRO CURVE QHTB7'S (MLP),3211,9/27/2017,7/3/2021,337941-B170502923,Store,4,,5.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335526,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/19/2008,10/2/2020,335526-346818,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,337063,60,ITE SHEN FORTUNES,3419,3/11/2016,11/20/2021,337063-15111303,Store,5,,1.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333435,70,ITC Smart Card Dispenser,1018,12/9/2003,1/30/2019,333435-23748,Store,17,2.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335524,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/19/2008,3/19/2021,335524-346815,Store,13,,9.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335525,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,10/2/2020,335525-346828,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,332939,70,DIEBOLD ACM,9001,9/21/2002,3/2/2009,332939-R10620534200,Store,19,12.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,332961,70,DIEBOLD ACM,9001,3/11/2003,6/27/2018,332961-R10620538261,Store,18,3.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333274,70,ITC Smart Card Dispenser,1018,7/3/2005,3/2/2009,333274-220536681,Store,16,12.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,126859,740,IBM SUREPOS 4852,2038,9/30/2010,1/30/2019,126859-41D2754,Store,11,2.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333456,70,ITC Smart Card Dispenser,1018,10/21/2003,1/30/2019,333456-23698,Store,18,2.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333475,60,IGT iGAME CARNIVAL MYS 243 01,580,8/12/2004,8/2/2020,333475-1349272,Store,17,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333479,60,IGT iGAME AZTEC TEMPLE 243 01,579,8/12/2004,8/2/2020,333479-1349274,Store,17,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333502,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/9/2004,11/20/2021,333502-1407747,Store,17,,1.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335395,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/15/2008,7/2/2020,335395-346864,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335521,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/19/2008,7/2/2020,335521-346824,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335522,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,7/2/2020,335522-346816,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,124645,740,IBM SUREPOS 4852,2038,9/28/2010,9/2/2017,124645-41D3940,Store,11,4.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,333019,70,DIEBOLD ACM,9001,3/12/2003,1/30/2019,333019-R10620537528,Store,18,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336323,60,WMS BLADE LIFE OF LUCK/SAP,1861,3/6/2015,4/28/2020,336323-5077262,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336692,60,NOV DOM PREMIUM ED 3 - 0.01,3084,3/7/2014,3/5/2020,336692-618385,Store,7,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336675,60,NOV PREM V+ 6sT,3160,8/15/2008,12/29/2017,336675-346873,Store,13,3.0,,Nov-21
