Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337119,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,9/15/2016,9/2/2023,337119-173362,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,333419,70,ITC Smart Card Dispenser,1018,10/28/2003,10/11/2019,333419-23737,20,October 2023,,,20
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337213,60,BAL PRO CURVE QHBG (MLP),3216,11/18/2016,9/2/2023,337213-B160566468,6,October 2023,,,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130582,740,IBM SUREPOS 4852,2038,10/15/2010,6/14/2013,130582-41C8993,13,October 2023,,,13
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337193,60,WMS BLADE MULTI CHEST 5,1868,11/15/2016,8/2/2023,337193-5102872,6,October 2023,,,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337127,60,BAL PRO CURVE QHBG (MLP),3216,11/15/2016,9/2/2023,337127-B160566493,6,October 2023,,,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336338,60,BAL PRO CURVE QHBG (MLP),3216,3/6/2015,8/2/2023,336338-B141219200,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337122,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/15/2016,9/2/2023,337122-134029,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337131,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,9/14/2016,8/2/2023,337131-166892,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337115,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,9/14/2016,3/25/2023,337115-182958,7,October 2023,,,7
