Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                      Slots              ACM              ITC           FRS           Total,43,ROTA,53.0,3.0,4.0,3.0,63.0,June 2024
Europe                                                                      Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,June 2024
Europe                                                                      Slots              ACM              ITC           FRS           Total,46,VILSECK,108.0,9.0,4.0,4.0,125.0,June 2024
Europe                                                                      Slots              ACM              ITC           FRS           Total,47,WIESBADEN,94.0,5.0,,1.0,100.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,,13.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,6.0,6.0,3.0,86.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,22,ZAMA,142.0,8.0,9.0,8.0,167.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,26,OKINAWA,312.0,15.0,21.0,11.0,359.0,June 2024
Japan                                                                       Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,4.0,4.0,2.0,76.0,June 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,6.0,5.0,2.0,99.0,June 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,21,DAEGU,99.0,5.0,,,104.0,June 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,84.0,5.0,,,89.0,June 2024
Korea                                                                       Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,141.0,5.0,6.0,3.0,155.0,June 2024
