Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
,CROW'S NEST,26,2523,Navy,6.0,4.0,4.0,2.0,4.0,,,20.0,1.0,1.0,2.0,24.0,24.0,
,PORT CALL,26,2525,Navy,2.0,,2.0,2.0,,3.0,,9.0,1.0,1.0,2.0,13.0,13.0,
,WHISPERS,26,3159,Marine Corps,4.0,4.0,2.0,,,,,10.0,1.0,1.0,1.0,12.0,13.0,
,HANSEN TLF,26,3169,Marine Corps,2.0,,4.0,2.0,2.0,2.0,,12.0,1.0,1.0,1.0,15.0,15.0,
OKINAWA,TORII PINES TLF,27,3164,Marine Corps,8.0,4.0,6.0,4.0,3.0,,,25.0,1.0,1.0,2.0,29.0,29.0,
OKINAWA,IWAKUNI CLUB,27,1137,Marine Corps,20.0,4.0,4.0,2.0,6.0,,,36.0,1.0,2.0,2.0,41.0,41.0,
Korea,TERROR CLUB,17,3156,Navy,15.0,,,,,,,15.0,1.0,1.0,2.0,19.0,19.0,
Korea,DRAGON HILL,20,770,Army,41.0,2.0,5.0,7.0,34.0,6.0,,95.0,1.0,3.0,3.0,102.0,102.0,
Korea,MAIN POST CLUB,20,773,Army,,,,,,,,0.0,,,0.0,,0.0,
Korea,K-16 C/C,20,776,Army,6.0,,2.0,,,,,8.0,1.0,1.0,2.0,12.0,12.0,
Korea,STATE'S GRILL,21,866,Army,5.0,2.0,2.0,,,2.0,,11.0,1.0,1.0,2.0,15.0,15.0,
Korea,HILLTOP,21,867,Army,17.0,11.0,9.0,,6.0,,,43.0,1.0,1.0,2.0,47.0,47.0,
Korea,LOS CANTINA,21,869,Army,10.0,,5.0,,,3.0,3.0,21.0,1.0,1.0,2.0,25.0,25.0,
Korea,WINDY CITY,21,870,Army,9.0,,2.0,6.0,,,,17.0,1.0,1.0,2.0,21.0,21.0,
Korea,EL GUERRERO,21,891,Army,11.0,,6.0,,3.0,,,20.0,1.0,1.0,2.0,24.0,24.0,
Korea,TURTLE COVE,21,2521,Navy,4.0,,,5.0,1.0,,,10.0,1.0,1.0,2.0,14.0,14.0,
Korea,GATEWAY CLUB,23,797,Army,9.0,4.0,2.0,,6.0,2.0,,23.0,1.0,,1.0,24.0,25.0,
Korea,WARRIOR'S,23,798,Army,10.0,,2.0,2.0,,,,14.0,1.0,1.0,1.0,17.0,17.0,
Korea,CASEY B/C,23,819,Army,12.0,3.0,2.0,,2.0,2.0,,21.0,1.0,1.0,1.0,24.0,24.0,
Korea,CASEY LODGE,23,1940,Army,7.0,,1.0,2.0,,,,10.0,1.0,1.0,1.0,13.0,13.0,
Korea,FLIGHTLINE,24,3166,Army,,,,,,,,0.0,1.0,1.0,1.0,,3.0,
Korea,CAVE,24,3168,Army,22.0,6.0,5.0,,8.0,,,41.0,1.0,2.0,2.0,46.0,46.0,
Korea,HUMPHREYS B/C,24,839,Army,11.0,4.0,4.0,,4.0,,,23.0,1.0,1.0,2.0,27.0,27.0,
Korea,MORNING CALM,24,3158,Army,22.0,15.0,6.0,,18.0,9.0,,70.0,1.0,2.0,2.0,75.0,75.0,
Europe,IRISH PUB,2,194,Army,14.0,4.0,10.0,,10.0,4.0,,42.0,1.0,2.0,3.0,48.0,48.0,
