Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Month,Years_in_Storage,Age_int,Years_in_Storage_int
Europe,4,VICENZA,333,VICENZA F. O.,335613,60,NOV CF1+ ULT 10D,3100,9/8/2007,1/19/2018,335613-285121,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335881,60,NOV PREM V+ 6sT,3160,6/12/2008,6/13/2018,335881-358339,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335882,60,BAL A S9 QH BLKGOLD 25L10C,569,7/18/2008,6/14/2019,335882-S080607535,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335883,60,BAL A S9 QH BLKGOLD 25L10C,569,7/18/2008,6/14/2019,335883-S080607536,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335887,60,BAL A S9 QH BLKGOLD 25L10C,569,7/18/2008,3/15/2018,335887-S080607540,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335893,60,WMS BBII MULTI GAME CHEST 4,1838,8/11/2009,4/17/2019,335893-W2228405,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336105,60,IGT GAME KING AVP,1501,10/17/2008,12/8/2017,336105-1903416,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336106,60,IGT LION DANCE AVP,1605,10/17/2008,12/8/2017,336106-1903415,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336120,60,WMS BBII MULTI GAME CHEST 6,1842,10/17/2008,11/21/2019,336120-W2204511,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336121,60,AIN APOLLO GOLD (SAP),1325,11/13/2008,3/15/2018,336121-XAR621362,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336122,60,AIN ROYAL DIAMONDS DBL,1327,11/13/2008,3/15/2018,336122-XAR620751,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336123,60,AIN DRAGON LINES (SAP),1317,11/13/2008,6/1/2018,336123-XAR620748,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336124,60,AIN PURPLE MOON (SAP),1315,11/13/2008,3/15/2018,336124-XAR620775,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,336125,60,AIN CHINESE HOROSCOPE,1326,11/13/2008,6/1/2018,336125-XAR620741,,0,,0
Europe,10,GARMISCH,614,GARMISCH F. O.,130588,740,IBM SUREPOS 4852,2038,10/15/2010,1/13/2011,130588-41D2459,,0,,0
Europe,10,GARMISCH,614,GARMISCH F. O.,130617,740,IBM SUREPOS 4852,2038,10/15/2010,8/7/2012,130617-41C8871,,0,,0
Europe,10,GARMISCH,614,GARMISCH F. O.,333165,70,DIEBOLD ACM,9001,9/4/2004,8/7/2012,333165-38850,,0,,0
Korea,20,SEOUL,841,SEOUL FO,116222,740,IBM SUREPOS 4852,2038,9/25/2010,1/25/2019,116222-41D3345,,0,,0
Korea,20,SEOUL,841,SEOUL FO,332944,70,DIEBOLD ACM,9001,12/2/2002,8/23/2017,332944-R10620538293,,0,,0
Korea,20,SEOUL,841,SEOUL FO,332945,70,DIEBOLD ACM,9001,12/14/2002,1/25/2019,332945-R10620538228,,0,,0
Korea,20,SEOUL,841,SEOUL FO,333221,70,DIEBOLD ACM,9001,8/11/2004,3/26/2016,333221-R10620538809,,0,,0
Korea,20,SEOUL,841,SEOUL FO,333271,60,IGT iGAME CARNIVAL MYS 243 01,580,10/9/2004,7/26/2019,333271-1407735,,0,,0
Korea,20,SEOUL,841,SEOUL FO,333443,70,ITC Smart Card Dispenser,1018,10/16/2003,11/16/2017,333443-23728,,0,,0
Korea,20,SEOUL,841,SEOUL FO,333485,60,IGT GAME KING CL IFACE 210,228,8/12/2004,1/25/2019,333485-1349253,,0,,0
Korea,20,SEOUL,841,SEOUL FO,333489,60,IGT GAME KING CL IFACE 210,228,8/12/2004,7/26/2019,333489-1349273,,0,,0
Korea,20,SEOUL,841,SEOUL FO,334038,60,IGT GAME KING CL IFACE 210,228,10/5/2004,2/7/2019,334038-1406050,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335644,70,ITC Smart Card Dispenser,1018,3/6/2007,9/30/2015,335644-500647708,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335774,60,NOV PREM V+ 5sT,3158,8/27/2008,1/25/2019,335774-346819,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335776,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/27/2008,7/17/2019,335776-346814,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335777,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/27/2008,7/17/2019,335777-346811,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335778,60,NOV PREM V+ 6sT,3160,8/27/2008,1/25/2019,335778-346809,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335780,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/27/2008,7/17/2019,335780-346812,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335836,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/15/2008,12/19/2019,335836-346849,,0,,0
Korea,20,SEOUL,841,SEOUL FO,335840,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,12/19/2019,335840-346835,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336322,60,WMS BLADE MULTI CHEST 3,1866,3/6/2015,7/26/2019,336322-5077251,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336323,60,WMS BLADE LIFE OF LUCK/SAP,1861,3/6/2015,4/26/2017,336323-5077262,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336372,60,BAL S9 QH GOLDEN BELL 25L10C,772,10/6/2009,12/19/2019,336372-S090819425,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336574,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,1/25/2019,336574-5091348,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336575,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,1/25/2019,336575-5091328,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336576,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,12/19/2019,336576-5091349,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336578,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,12/19/2019,336578-5091352,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336649,60,NOVOSTAR 4sT,3181,10/7/2016,8/24/2019,336649-132543,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336895,60,WMS BLADE GOLDFISH 3,1857,8/26/2015,5/16/2017,336895-5088530,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336899,60,NOVOSTAR 5sT,3183,10/7/2016,8/24/2019,336899-143875,,0,,0
Korea,20,SEOUL,841,SEOUL FO,336900,60,NOVOSTAR 5sT,3183,10/7/2016,8/24/2019,336900-143876,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337059,60,NOVOSTAR 4sT,3181,11/23/2016,1/25/2019,337059-141564,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337060,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,11/23/2016,12/19/2019,337060-141603,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337066,60,NOVOSTAR 6sT,3185,10/7/2016,8/24/2019,337066-173368,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337488,60,IGT UNIV SLANT GAME KING 4.0,1980,2/2/2019,2/2/2019,337488-2456973,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337489,60,IGT UNIV SLANT GAME KING 4.0,1980,2/2/2019,2/2/2019,337489-2456974,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337491,60,IGT CRYSTAL D - MULTI SET 003,1966,7/19/2019,7/19/2019,337491-2468385,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337492,60,IGT CRYSTAL D - MULTI SET 003,1966,7/19/2019,7/19/2019,337492-2468657,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337493,60,IGT CRYSTAL D - MULTI SET 003,1966,7/19/2019,7/19/2019,337493-2468386,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337650,60,NOVOSTAR 4sT,3181,11/23/2016,1/25/2019,337650-141653,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337653,60,NOVOSTAR 4sT,3181,11/23/2016,8/24/2019,337653-143870,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337655,60,NOVOSTAR 5sT,3183,11/23/2016,1/25/2019,337655-152495,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337656,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,11/23/2016,12/19/2019,337656-153198,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337659,60,NOVOSTAR 5sT,3183,11/23/2016,1/25/2019,337659-158970,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337665,60,NOVOSTAR 6sT,3185,11/23/2016,1/25/2019,337665-208642,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337669,60,NOVOSTAR 6sT,3185,11/23/2016,1/25/2019,337669-208670,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337673,60,NOVOSTAR 6sT,3185,11/23/2016,8/24/2019,337673-253690,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337688,60,WMS BLADE MULTI CHEST 3,1866,12/20/2016,12/19/2019,337688-5105388,,0,,0
Korea,20,SEOUL,841,SEOUL FO,337690,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,12/19/2019,337690-5105390,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,117481,740,IBM SUREPOS 4852,2038,9/29/2010,11/27/2010,117481-41D2775,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,333310,70,DIEBOLD ACM,9001,8/19/2004,10/18/2018,333310-R10620538876,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,333434,70,ITC Smart Card Dispenser,1018,12/9/2003,10/18/2018,333434-23747,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,334071,60,IGT iGAME CARNIVAL MYS 243 01,580,10/9/2004,1/16/2020,334071-1406587,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,334159,60,IGT iGAME AZTEC TEMPLE 243 01,579,11/2/2004,1/16/2020,334159-1407114,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,336669,70,ITC Smart Card Dispenser,1018,4/3/2008,3/12/2014,336669-0801279,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,336804,60,WMS BLADE MULTI CHEST 6,1869,2/27/2015,10/18/2018,336804-5077261,,0,,0
Korea,23,UIJEONGBU,843,UIJONGBU FO,338303,60,IGT CRYSTAL D - MULTI SET 003,1966,7/2/2019,7/2/2019,338303-2468385,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,124645,740,IBM SUREPOS 4852,2038,9/28/2010,9/2/2017,124645-41D3940,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,126859,740,IBM SUREPOS 4852,2038,9/30/2010,1/30/2019,126859-41D2754,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,332939,70,DIEBOLD ACM,9001,9/21/2002,3/2/2009,332939-R10620534200,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,332961,70,DIEBOLD ACM,9001,3/11/2003,6/27/2018,332961-R10620538261,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,333019,70,DIEBOLD ACM,9001,3/12/2003,1/30/2019,333019-R10620537528,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,333274,70,ITC Smart Card Dispenser,1018,7/3/2005,3/2/2009,333274-220536681,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,333435,70,ITC Smart Card Dispenser,1018,12/9/2003,1/30/2019,333435-23748,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,333456,70,ITC Smart Card Dispenser,1018,10/21/2003,1/30/2019,333456-23698,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336317,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/14/2011,2/5/2020,336317-XAR647240,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336318,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/27/2018,336318-XAR647231,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336319,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,2/5/2020,336319-XAR647232,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336502,60,WMS BLADE MULTI CHEST 2,1856,10/24/2015,10/24/2015,336502-5091334,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336504,60,WMS BLADE MULTI CHEST 5,1868,10/24/2015,5/31/2019,336504-5091326,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336507,60,BAL V22/22 AMERICAN ORIGINAL,3229,10/24/2015,2/18/2018,336507-150734300,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336528,60,BAL V22/22 AMERICAN ORIGINAL,3229,10/24/2015,10/31/2018,336528-B150734299,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,336529,60,BAL V22/22 MULTI GAME SUITE 1,3225,10/24/2015,10/31/2018,336529-B150734302,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338021,60,AIN A620 M/CHOICE-T SAP M-JP,2223,1/8/2020,1/8/2020,338021-XAR697371,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338022,60,AIN A620 M/CHOICE-C SAP M-JP,2226,1/8/2020,1/8/2020,338022-XAR697372,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338023,60,AIN A620 M/CHOICE-F SAP M-JP,2228,1/8/2020,1/8/2020,338023-XAR697373,,0,,0
