Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,March,2020,32189,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,April,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,May,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,June,2020,-45410,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,July,2020,153979,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,August,2020,65719,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,September,2020,64952,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,October,2019,75717,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,November,2019,52707,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,December,2019,76715,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,January,2020,48788,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,February,2020,53534,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,March,2020,95816,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,April,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,May,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,June,2020,15051,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,July,2020,27306,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,August,2020,92554,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,September,2020,131035,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,October,2019,10169,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,November,2019,7988,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,December,2019,12677,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,January,2020,11481,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,February,2020,6823,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,March,2020,13396,49.440066,7.749126
