Date,AssetType,Balance,Category
2023-04-30,Distributions Payable,1538823.38,LIABILITIES
2023-04-30,Accrued Liabilities,1606131.54,LIABILITIES
2023-04-30,Accrued Salaries,537758.56,LIABILITIES
2023-04-30,Accrued Leave Payable,572630.53,LIABILITIES
2023-04-30,Total Liabilities,4822545.86,LIABILITIES
2023-04-30,EQUITY,45232973.04,EQUITY
2023-04-30,TOTAL LIABILITIES & EQUITY,50055518.90,EQUITY
2020-05-31,Cash,28486503.30,ASSETS
2020-05-31,Accounts Receivable,188198.49,ASSETS
2020-05-31,Prepaid Expenses,196731.74,ASSETS
2020-05-31,Fixed Assets,44303452.85,ASSETS
2020-05-31,Less Accum Depreciation,-29965905.51,ASSETS
2020-05-31,TOTAL ASSETS,43208980.87,ASSETS
2020-05-31,Accounts Payable,521739.69,LIABILITIES
2020-05-31,Accrued Liabilities,1031653.10,LIABILITIES
2020-05-31,Accrued Salaries,514901.09,LIABILITIES
2020-05-31,Accrued Leave Payable,531645.84,LIABILITIES
2020-05-31,Total Liabilities,2599939.72,LIABILITIES
2020-05-31,EQUITY,40609041.15,EQUITY
2020-05-31,TOTAL LIABILITIES & EQUITY,43208980.87,EQUITY
2021-05-31,Cash,35430058.22,ASSETS
2021-05-31,Accounts Receivable,87024.02,ASSETS
2021-05-31,Prepaid Expenses,260163.83,ASSETS
2021-05-31,Fixed Assets,44523261.01,ASSETS
2021-05-31,Less Accum Depreciation,-32791431.55,ASSETS
2021-05-31,TOTAL ASSETS,47509075.53,ASSETS
2021-05-31,Accounts Payable,440138.07,LIABILITIES
2021-05-31,Distributions Payable,873756.77,LIABILITIES
2021-05-31,Accrued Liabilities,1542349.19,LIABILITIES
2021-05-31,Accrued Salaries,545686.17,LIABILITIES
2021-05-31,Accrued Leave Payable,591246.40,LIABILITIES
2021-05-31,Total Liabilities,3993176.60,LIABILITIES
2021-05-31,EQUITY,43515898.93,EQUITY
2021-05-31,TOTAL LIABILITIES & EQUITY,47509075.53,EQUITY
2022-05-31,Cash--Operating,20186364.34,ASSETS
2022-05-31,Cash--Restricted,22283679.91,ASSETS
2022-05-31,Accounts Receivable,246423.99,ASSETS
2022-05-31,Prepaid Expenses,336780.01,ASSETS
2022-05-31,Fixed Assets,41501154.81,ASSETS
2022-05-31,Less Accum Depreciation,-33592262.71,ASSETS
2022-05-31,TOTAL ASSETS,50962140.35,ASSETS
2022-05-31,Accounts Payable,581400.15,LIABILITIES
2022-05-31,Distributions Payable,2440185.26,LIABILITIES
2022-05-31,Accrued Liabilities,1879303.41,LIABILITIES
2022-05-31,Accrued Salaries,277346.57,LIABILITIES
2022-05-31,Accrued Leave Payable,550931.92,LIABILITIES
2022-05-31,Total Liabilities,5729167.31,LIABILITIES
2022-05-31,EQUITY,45232973.04,EQUITY
2022-05-31,TOTAL LIABILITIES & EQUITY,50962140.35,EQUITY
2023-05-31,Cash--Operating,24290215.76,ASSETS
2023-05-31,Cash--Restricted,14197860.74,ASSETS
2023-05-31,Accounts Receivable,254894.50,ASSETS
