Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Age,Years_in_Storage,Month,Age_int,Years_in_Storage_float,Years_in_Storage_int,BaseName_match,match_score,match_country,Latitude,Longitude
Korea,21,DAEGU,875,DAEGU F.O.,339242,60,KON CONC SELEXION MULTI 9,3508,4/15/2018,10/17/2020,339242-137156,2,0.0,October 2020,2,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,339245,60,KON CONC SELEXION MULTI 12,3511,4/15/2018,10/17/2020,339245-137159,2,0.0,October 2020,2,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,24,PYONGTAEK,897,PFO STORAGE,332892,60,WMS BB INVADERS PLANET MOOLAH,1450,10/3/2006,3/27/2020,332892-W2140952,14,0.0,October 2020,14,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,333271,60,IGT iGAME CARNIVAL MYS 243 01,580,10/9/2004,9/10/2020,333271-1407735,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,333485,60,IGT GAME KING CL IFACE 210,228,8/12/2004,5/14/2020,333485-1349253,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,333489,60,IGT GAME KING CL IFACE 210,228,8/12/2004,9/10/2020,333489-1349273,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,333577,60,IGT GAME KING CL IFACE 210,228,10/9/2004,5/14/2020,333577-1407822,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,333670,60,IGT iGAME AZTEC TEMPLE 243 01,579,8/21/2004,3/27/2020,333670-1383888,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334029,60,IGT iGAME CARNIVAL MYS 243 01,580,10/5/2004,5/14/2020,334029-1406060,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334034,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/5/2004,5/14/2020,334034-1406062,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334038,60,IGT GAME KING CL IFACE 210,228,10/5/2004,9/10/2020,334038-1406050,16,0.0,October 2020,16,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334169,60,IGT iGAME CARNIVAL MYS 243 01,580,11/2/2004,3/27/2020,334169-1407544,15,0.0,October 2020,15,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334458,60,WMS BB CRYSTAL FOREST,1451,8/12/2005,3/27/2020,334458-W2084020,15,0.0,October 2020,15,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334472,60,WMS THAI TREASURES 10C 25L .01,839,8/12/2005,3/27/2020,334472-W2083976,15,0.0,October 2020,15,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,334483,60,WMS BB INVADERS PLANET MOOLAH,1450,8/12/2005,3/27/2020,334483-W2084005,15,0.0,October 2020,15,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,335774,60,NOV PREM V+ 5sT,3158,8/27/2008,5/14/2020,335774-346819,12,0.0,October 2020,12,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,335776,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/27/2008,4/28/2020,335776-346814,12,0.0,October 2020,12,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,335777,60,NOV PREM V+ 1ST MULTI-DENOM,4007,8/27/2008,4/29/2020,335777-346811,12,0.0,October 2020,12,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,335778,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/27/2008,9/10/2020,335778-346809,12,0.0,October 2020,12,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,335780,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/27/2008,4/28/2020,335780-346812,12,0.0,October 2020,12,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336077,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,5/14/2020,336077-642958,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336083,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/18/2014,5/14/2020,336083-642964,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336094,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,9/17/2020,336094-642950,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336097,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,9/17/2020,336097-642953,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336099,60,NOV PREM V+ 1ST MULTI-DENOM,4007,9/18/2014,9/17/2020,336099-642955,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336316,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/14/2011,3/18/2020,336316-XAR647239,8,0.0,October 2020,8,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336322,60,WMS BLADE MULTI CHEST 3,1866,3/6/2015,9/10/2020,336322-5077251,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336323,60,WMS BLADE LIFE OF LUCK/SAP,1861,3/6/2015,4/28/2020,336323-5077262,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
