LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
BEACH HEAD,26,2394,Marine Corps,3.0,,5.0,3.0,,,,11.0,1.0,1.0,2.0,15.0,15.0,November 2020
CROW'S NEST,26,2523,Navy,6.0,4.0,2.0,2.0,6.0,,,20.0,1.0,1.0,2.0,24.0,24.0,November 2020
PORT CALL,26,2525,Navy,2.0,,2.0,2.0,,3.0,,9.0,1.0,1.0,2.0,13.0,13.0,November 2020
WHISPERS,26,3159,Marine Corps,4.0,4.0,2.0,,,,,10.0,,1.0,1.0,12.0,12.0,November 2020
HANSEN TLF,26,3169,Marine Corps,2.0,,4.0,2.0,2.0,2.0,,12.0,1.0,1.0,1.0,15.0,15.0,November 2020
STATE'S GRILL,21,866,Army,18.0,14.0,6.0,,8.0,2.0,,48.0,1.0,2.0,2.0,53.0,53.0,November 2020
HILLTOP,21,867,Army,,,,,,,,0.0,,,0.0,,0.0,November 2020
LOS CANTINA,21,869,Army,5.0,,1.0,,,3.0,3.0,12.0,,1.0,2.0,15.0,15.0,November 2020
WINDY CITY,21,870,Army,14.0,,5.0,6.0,,,,25.0,1.0,1.0,2.0,29.0,29.0,November 2020
EL GUERRERO,21,891,Army,16.0,,10.0,,3.0,,,29.0,1.0,1.0,2.0,33.0,33.0,November 2020
TURTLE COVE,21,2521,Navy,4.0,,,5.0,1.0,,,10.0,1.0,1.0,2.0,14.0,14.0,November 2020
GATEWAY CLUB,23,797,Army,9.0,5.0,2.0,,6.0,2.0,,24.0,,,1.0,25.0,25.0,November 2020
WARRIOR'S,23,798,Army,10.0,,2.0,2.0,,,,14.0,1.0,1.0,1.0,17.0,17.0,November 2020
CASEY B/C,23,819,Army,12.0,4.0,2.0,,4.0,2.0,,24.0,1.0,1.0,1.0,27.0,27.0,November 2020
CASEY LODGE,23,1940,Army,6.0,,1.0,2.0,2.0,,,11.0,1.0,1.0,1.0,14.0,14.0,November 2020
FLIGHTLINE,24,3166,Army,8.0,,,,2.0,,,10.0,1.0,1.0,1.0,13.0,13.0,November 2020
CAVE,24,3168,Army,22.0,6.0,5.0,,8.0,,,41.0,1.0,2.0,2.0,46.0,46.0,November 2020
HUMPHREYS B/C,24,839,Army,8.0,4.0,4.0,,4.0,,,20.0,1.0,1.0,2.0,24.0,24.0,November 2020
MORNING CALM,24,3158,Army,15.0,15.0,6.0,,25.0,6.0,,67.0,1.0,2.0,2.0,72.0,72.0,November 2020
IRISH PUB,2,194,Army,14.0,4.0,10.0,,10.0,4.0,,42.0,1.0,2.0,3.0,48.0,48.0,December 2020
LCCC,2,195,Army,10.0,3.0,5.0,,10.0,2.0,,30.0,1.0,2.0,2.0,35.0,35.0,December 2020
KAZABRA,2,196,Army,6.0,,4.0,,,2.0,,12.0,1.0,1.0,1.0,15.0,15.0,December 2020
STRIKERS,2,218,Army,9.0,4.0,7.0,2.0,8.0,3.0,,33.0,1.0,2.0,2.0,38.0,38.0,December 2020
GOLD MINE,2,1038,Army,9.0,4.0,3.0,3.0,3.0,,,22.0,1.0,2.0,2.0,27.0,27.0,December 2020
ROB JAVA CAFE,2,2887,Army,6.0,,3.0,1.0,1.0,1.0,,12.0,1.0,1.0,1.0,15.0,15.0,December 2020
SEMBACH C/C,2,3072,Army,7.0,,2.0,,7.0,3.0,,19.0,1.0,1.0,2.0,23.0,23.0,December 2020
LA PLAZA,43,2600,Navy,13.0,4.0,2.0,,6.0,4.0,,29.0,1.0,1.0,2.0,33.0,33.0,December 2020
ROTA LANES,43,2601,Navy,3.0,,3.0,1.0,5.0,1.0,,13.0,1.0,1.0,1.0,16.0,16.0,December 2020
ROTA FLEET CTR,43,2605,Navy,2.0,,2.0,1.0,,,,5.0,1.0,1.0,1.0,8.0,8.0,December 2020
BOQ,43,2890,Navy,4.0,,3.0,,2.0,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,December 2020
GRAF E/C,46,413,Army,17.0,4.0,7.0,4.0,6.0,,,38.0,1.0,2.0,2.0,43.0,43.0,December 2020
HOHENFELS B/C,46,415,Army,4.0,4.0,4.0,4.0,2.0,,,18.0,1.0,2.0,2.0,23.0,23.0,December 2020
VILSECK B/C,46,417,Army,7.0,,,2.0,4.0,,,13.0,1.0,1.0,1.0,16.0,16.0,December 2020
LANGENBRUCK,46,1858,Army,11.0,4.0,4.0,,15.0,2.0,,36.0,1.0,2.0,2.0,41.0,41.0,December 2020
ALGIERS REC,46,3145,Army,6.0,,2.0,2.0,4.0,,,14.0,1.0,1.0,2.0,18.0,18.0,December 2020
THE VAULT,47,1669,Army,13.0,4.0,7.0,,17.0,2.0,,43.0,1.0,3.0,3.0,50.0,50.0,December 2020
KASTEL KLUB,47,1881,Army,9.0,,5.0,,2.0,1.0,,17.0,1.0,1.0,1.0,20.0,20.0,December 2020
